feature,v_type,X_base,L_base,drift_type,shap_importance_main_model,cv_target,X_raw,X_coral,X_pca,X_drop,X_rec_coral,X_rec_pca,L_raw,L_coral,L_pca,L_drop,L_rec_coral,L_rec_pca
intraop_Na_q25,continuous,0.9658667618049249,0.9442394970854989,LOW_VARIANCE_TARGET,0.006718799897426603,0.0153,,,,,,,,,,,,
intraop_HCO3_mean,continuous,0.9971675859908185,0.9836507092719512,STABLE,0.0034554366259658335,,0.9813506232789302,-0.9741796776760747,-0.9261066198384986,0.01581696271188826,-200.0,-200.0,0.8632452482950488,-0.977925883242786,-0.9194537623978754,0.12040546097690241,-200.0,-200.0
intraop_Na_min,continuous,0.9153956449465884,0.8865596962026758,LOW_VARIANCE_TARGET,0.00938079682044996,0.0182,,,,,,,,,,,,
postop_Tprotein_intercept,continuous,0.9381818040279992,0.7384141652503791,INSUFFICIENT_CLINIC_DATA,0.0024967907016061504,,,,,,,,,,,,,
intraop_pH_q25,continuous,0.9504347663863779,0.9178634631219622,LOW_VARIANCE_TARGET,0.003958629942373447,0.0062,,,,,,,,,,,,
intraop_BEecf_q75,continuous,0.9783318359907832,0.9565343770867859,STABLE,0.002847465975150193,,0.9602298706775817,-0.9164848626045918,-0.8086727295265932,0.018101965313201518,-200.0,-200.0,0.9471490790664477,-0.9423063657370245,-0.8696325635075441,0.009385298020338162,-200.0,-200.0
postop_HR_mean_avg,continuous,0.9730185303437678,0.9741936371425521,PARTIAL_RECOVERY,0.002000322459829845,,-0.1510012570424737,0.5530858521940196,-0.02865265992623134,1.1240197873862416,62.64009914574139,10.88491488221464,-0.21353363933237346,0.5678435338881385,-0.020338251193701806,1.1877272764749256,65.78759187374845,16.265972160886907
intraop_Lact_max,continuous,0.9565228120407931,0.8474015934006812,STABLE,0.002374658874182249,,0.9393577941437559,-1.2679091811210412,-0.945557224720847,0.017165017897037282,-200.0,-200.0,0.7169911789298042,-0.6804262062686226,-1.3600599572507246,0.13041041447087698,-200.0,-200.0
preop_glu,continuous,0.2719808240500593,0.2100464951078045,PARTIAL_RECOVERY,0.0021398265102204176,,-1.4792471693721723,-0.9674477687039131,-0.48723807710314593,1.7512279934222317,29.225172427041095,56.64648440951725,-0.5028272719490059,-0.19915821561857117,-0.18709680979055188,0.7128737670568104,42.59787221294043,44.28981353346571
intraop_pH_q75,continuous,0.9394793428318814,0.9057107098747286,LOW_VARIANCE_TARGET,0.05925785087540297,0.006,,,,,,,,,,,,
intraop_pH_mean,continuous,0.9944764537324953,0.9803981738434507,LOW_VARIANCE_TARGET,0.027962396835204618,0.0059,,,,,,,,,,,,
intraop_SpO2_median,continuous,0.7482764257678626,0.5316413607187565,LOW_VARIANCE_TARGET,0.0029640754443698244,0.0114,,,,,,,,,,,,
postop_AlkPhos_avg,continuous,0.8668267894250602,0.8859285465465667,CONCEPT_RELATIONAL,0.002872322114642304,,0.3270151944215757,0.3676081968331595,-0.219907810184377,0.5398115950034845,7.5198463292219175,-101.31738733815494,0.30925118093344206,0.39936407730888923,-0.2807014458908992,0.5766773656131247,15.6262239076505,-102.30202570844831
intraop_Lact_mean,continuous,0.9935406918866108,0.8727877267551015,STABLE,0.0030990502223884418,,0.9944481570916512,-1.02935983110411,-0.5819421329955043,-0.0009074652050404808,,,0.8128289541548352,-0.5711824311292888,-1.058025725078335,0.059958772600266275,-200.0,-200.0
base_cr,continuous,0.7321397816395996,0.44028375530451225,CONCEPT_RELATIONAL,0.002593019696677921,,0.5137045297276663,0.14629759203814496,0.05595452081118191,0.21843525191193325,-168.19947076932854,-200.0,0.061204619100870494,0.010456543808917917,-0.009817332592955585,0.37907913620364175,-13.387198198291411,-18.73538923958954
intraop_pCO2_median,continuous,0.9410840376153347,0.918355447219188,STABLE,0.0025013037041409034,,0.9157606158889152,0.5576674982482894,0.39862784698147236,0.025323421726419437,-200.0,-200.0,0.9222721653167333,0.5603617901250566,0.36480031144376734,-0.003916718097545235,,
postop_PTINR_intercept,continuous,-11.197502107486459,0.8392830546755469,STABLE,0.0026027540654287,,0.22891749975605835,0.15607486727122866,-0.045134905172076634,-11.426419607242517,,,0.19289694798295542,0.13137414512549217,-0.06396757153633392,0.6463861066925914,-9.517964916087266,-39.738558248661285
postop_Albumin_intercept,continuous,0.9393444106823834,0.6636613172600601,CONCEPT_RELATIONAL,0.005465240229131538,,0.26634232988092266,0.11913045793900678,-0.18615883672345346,0.6730020808014607,-21.87391036987658,-67.23622103300248,-0.2734188139585483,-0.20716100962527517,-0.18858452814129922,0.9370801312186083,7.070665797503292,9.053044984202995
intraop_Lact_q25,continuous,0.9223134992704625,0.7680791150541911,STABLE,0.0023882831941379927,,0.9258345942796222,-0.6952531700145967,-0.5037470607526482,-0.003521095009159758,,,0.7745385646675973,-0.2655207398317252,-0.6507341755858396,-0.006459449613406165,,
intraop_pCO2_q25,continuous,0.936668243499639,0.900444457875841,STABLE,0.0026701971295610147,,0.9345328039516492,0.5839535629107371,0.5872337402422458,0.0021354395479897814,-200.0,-200.0,0.9214623582566834,0.6254640330165672,0.6145179098922647,-0.02101790038084239,,
height,continuous,0.992251662576133,0.9713371202908541,CONCEPT_RELATIONAL,0.0019534269485581997,,0.4886243780476791,0.35239559184048486,0.002059968885647301,0.5036272845284538,-27.04952459729128,-96.6120033821444,0.27437393987392955,0.19239854760096387,-0.18032731895261822,0.6969631804169245,-11.761796688302512,-65.24035581830087
postop_BUN_intercept,continuous,0.828881817951014,0.8192956483648168,STABLE,0.0054634200932414355,,0.875651487446978,0.8650778639714545,0.024209707809000447,-0.04676966949596395,,,0.9291971236190839,0.6956027132316166,0.041598617076552324,-0.10990147525426708,,
CPB_time(min),continuous,0.4772653037732648,0.2723266134147353,CONCEPT_RELATIONAL,0.019117812965764504,,-0.17461906565693175,-0.8398634052040255,-1.0598725551875487,0.6518843694301966,-102.04943863412079,-135.7991587226436,-1.0251075560866822,-1.0918478917340084,-1.222451762884992,1.2974341695014175,-5.144024815761819,-15.21034449664185
weight,continuous,0.9970315423967139,0.9892494628715345,NONLINEAR_DRIFT,0.002993238293204468,,0.7920333227190395,0.44188035708215634,-0.48670067663076044,0.2049982196776744,-170.80780808118257,-200.0,0.9580077615455137,0.5388500071291302,-0.4684555629105376,0.031241701326020777,-200.0,-200.0
postop_aPTT_intercept,continuous,0.4734940186461325,0.8610804865738728,CONCEPT_RELATIONAL,0.0022555632486855005,,0.08024024133343932,-2.6118302850525215,-1.0541472612266838,0.3932537773126932,-200.0,-200.0,-0.5725050915899177,-1.4026535032198497,-1.071888820631672,1.4335855781637905,-57.907140269451396,-34.83459492396613
intraop_SpO2_mean,continuous,0.8135792396544108,0.6950395645687937,NONLINEAR_DRIFT,0.0025248684774519894,,0.6687974282476741,0.49248794514387884,0.00968693497805373,0.14478181140673674,-121.77598925633521,-200.0,0.717930393836713,0.4958810886504389,-0.06320916797358755,-0.0228908292679193,,
intraop_HCO3_max,continuous,0.9697140246525128,0.9488972286419519,CONCEPT_RELATIONAL,0.005748302022427954,,0.8881314264728775,-1.3646989556261855,-1.4970953205867783,0.08158259817963531,-200.0,-200.0,0.8500279090469172,-1.362028921952522,-1.6274330440793863,0.09886931959503475,-200.0,-200.0
postop_HCO3_intercept,continuous,0.9614590864238802,0.7973687026558522,CONCEPT_RELATIONAL,0.0020715102981582415,,0.5037764317574558,0.29303634416563185,0.13028145640343636,0.45768265466642444,-46.045023870397465,-81.60566531109552,0.5647919061465652,0.3019345502350955,0.24186450498395307,0.2325767965092871,-113.01959604597675,-138.84764344912506
postop_CKMB_avg,continuous,0.780795047793483,0.7898756842917687,INSUFFICIENT_CLINIC_DATA,0.002371398231936767,,,,,,,,,,,,,
intraop_K_min,continuous,0.7223629481667135,0.5522303376380159,CONCEPT_RELATIONAL,0.0022519986942245835,,0.5586535207045644,-0.668872348062514,-0.592670701491727,0.16370942746214912,-200.0,-200.0,0.22066197706526136,-0.644585752865259,-0.6416011871889069,0.3315683605727545,-200.0,-200.0
preop_plt,continuous,0.21378881236123082,0.1582841335089039,PARTIAL_RECOVERY,0.002039625797582358,,-0.008267558300685263,0.08350477904805609,-0.004072743536372991,0.22205637066191608,41.32839651264318,1.8890765222399024,0.045231090933728235,0.10492653959997178,0.014190033288624004,0.11305304257517568,52.80304475357087,-27.457074076058756
postop_pO2_avg,continuous,0.6789072833194587,0.6837685516275932,LINEAR_RECOVERABLE,0.002886512750085284,,-1.942633295401389,-0.04930292731945696,-0.15510363022418572,2.6215405787208477,72.22205078380904,68.1862291084355,-2.282348693858669,-0.15583939933036706,-0.17095409730385525,2.966117245486262,71.69336605841701,71.18378748405388
postop_PTINR_avg,continuous,-12.249542854757568,0.8446518002983137,STABLE,0.0032746194957529403,,-3.3825255655015045,-2.5701244901721156,-0.5370022963041297,-8.867017289256063,,,-4.018598035048434,-2.2259186999840184,-0.4936956955979157,4.863249835346748,36.86175696825163,72.48038778166523
postop_Albumin_avg,continuous,0.9289678051456913,0.5532691629566877,CONCEPT_RELATIONAL,0.09740938761346506,,0.3003977316999207,0.05000148864862353,-0.17873677844084224,0.6285700734457706,-39.83585182136417,-76.22610912959729,-0.4410957378935303,-0.42523252175140236,-0.4018895339857975,0.994364900850218,1.5953113518552706,3.94283867765345
intraop_K_mean,continuous,0.9679473175918881,0.8814791216093337,STABLE,0.0026367294486727456,,0.9932164023234318,-0.8435401983745694,-0.7095453227618345,-0.025269084731543656,,,0.6155584885845397,-0.8453192948384056,-0.7455856250765982,0.2659206330247941,-200.0,-200.0
intraop_pCO2_q75,continuous,0.9451922608492905,0.9415550845084821,STABLE,0.0018631351925393602,,0.9544637371169219,0.5414301427046692,0.3325175055502363,-0.009271476267631362,,,0.9688943081422999,0.5641157000586992,0.22539839102071424,-0.0273392236338178,,
intraop_pO2_q25,continuous,0.9351737647596398,0.9567582540328172,STABLE,0.0037935761985330974,,0.9072558142979222,0.6579752199293851,-0.252680233401096,0.027917950461717522,-200.0,-200.0,0.9442986062114467,0.6240759224864856,-0.2044518736130927,0.012459647821370545,-200.0,-200.0
postop_pCO2_avg,continuous,0.9759543597559769,0.7993739787719016,CONCEPT_RELATIONAL,0.003905644923059669,,0.2491429079609151,0.37294059813736924,0.06583636162492001,0.7268114517950618,17.0329856348165,-25.220646411565045,0.5215033890815226,0.5132563691495844,0.10126246810167117,0.27787058969037903,-2.9679355203181332,-151.23620007720515
postop_CKMB_intercept,continuous,0.8089477084403341,0.8005394281889942,INSUFFICIENT_CLINIC_DATA,0.002777788311454428,,,,,,,,,,,,,
preop_wbc,continuous,0.33115298402253857,0.2598278504940328,CONCEPT_RELATIONAL,0.0,,-2.339829938110133,-1.9900637681006343,-1.3664550448209076,2.6709829221326715,13.095035805403976,36.44257270323635,-0.016526068709529884,0.02110768474158986,-0.04261703256084348,0.27635391920356267,13.617955395594977,-9.441141246162301
intraop_BEecf_q25,continuous,0.9790214397996432,0.9367691029643539,STABLE,0.0032547740489438505,,0.9505702993152808,-0.2877256503152763,-0.07346300461240651,0.02845114048436237,-200.0,-200.0,0.9337670044653338,-0.26000495481907193,-0.13025062059895576,0.0030020984990201116,-200.0,-200.0
intraop_pCO2_min,continuous,0.8560663147958989,0.7238309894076669,STABLE,0.0031120654663873777,,0.8789198479951229,0.6730544852286288,0.6193518283875458,-0.022853533199224008,,,0.688750243414818,0.5834683753396683,0.58673468275913,0.03508074599284883,-200.0,-200.0
intraop_BEecf_max,continuous,0.9697401337535546,0.9288362877529359,CONCEPT_RELATIONAL,0.06522634136537234,,0.8959574502659478,-1.9400096515436935,-2.0308816821415023,0.07378268348760686,-200.0,-200.0,0.8508849457988698,-1.931450756647941,-2.1233943076848467,0.07795134195406617,-200.0,-200.0
postop_Na_avg,continuous,0.7048815462190585,0.705920604910244,LOW_VARIANCE_TARGET,0.0037386571544688004,0.0197,,,,,,,,,,,,
postop_BT_mean_intercept,continuous,0.9342200600547959,0.505148356923036,LOW_VARIANCE_TARGET,0.0032385384201171247,0.0168,,,,,,,,,,,,
intraop_pO2_median,continuous,0.9385686407885189,0.9443888767871848,CONCEPT_RELATIONAL,0.0030810937453960795,,0.8615593648471664,0.2191214686393732,-0.7698888463008133,0.07700927594135243,-200.0,-200.0,0.8922229916373128,0.11552107666839673,-0.9352393728850457,0.05216588514987197,-200.0,-200.0
intraop_Glu_q75,continuous,0.9779709591769662,0.9888426890233372,STABLE,0.0018980283614717455,,0.9759034526029636,0.7429648160294374,0.4957971859274918,0.0020675065740025644,-200.0,-200.0,0.9828444568523399,0.7240783956108046,0.2976243899512865,0.005998232170997264,-200.0,-200.0
intraop_Glu_median,continuous,0.9740247784091536,0.9827685692818784,STABLE,0.0026725748202567835,,0.9538723815071796,0.752317943934429,0.5682038710570525,0.020152396901974012,-200.0,-200.0,0.9625526783089183,0.7543930654907965,0.454661958179978,0.02021589097296006,-200.0,-200.0
intraop_Glu_max,continuous,0.9438947295091569,0.9812774850476612,STABLE,0.0028649543814415024,,0.9167248608095901,0.8357101670065322,0.4832798367435951,0.027169868699566724,-200.0,-200.0,0.9858851958819409,0.8105635249267659,0.18763526620767046,-0.004607710834279688,,
intraop_pCO2_mean,continuous,0.9929613614301339,0.987418817403694,STABLE,0.0033042779488592876,,0.9844621670399297,0.6476625122076451,0.5121222596015822,0.00849919439020419,-200.0,-200.0,0.995965601917717,0.6319348499564307,0.414474816724006,-0.00854678451402302,,
intraop_BEecf_mean,continuous,0.996896157891977,0.989125097884263,STABLE,0.002483353901953547,,0.9855414896302749,-0.5972028381131551,-0.48524235066783405,0.011354668261702172,-200.0,-200.0,0.9713460448210934,-0.6241535333530688,-0.47950601655417935,0.017779053063169514,-200.0,-200.0
Age,continuous,0.5251220106179474,0.3208293251843938,PARTIAL_RECOVERY,0.001991868610701956,,-0.5108074516377439,-0.3328318014638092,-0.1996472341885389,1.0359294622556914,17.180286559897663,30.03681512944589,-0.09100749975424294,0.09784442580010233,-0.02883057386789467,0.4118368249386367,45.85600755408019,15.097466307344556
intraop_Na_max,continuous,0.8130895086046195,0.764111125680987,LOW_VARIANCE_TARGET,0.009396979050836637,0.0164,,,,,,,,,,,,
intraop_HCO3_q75,continuous,0.9782205368716596,0.9687179557651532,STABLE,0.033211904029136326,,0.9521444956804173,-1.1253133833522195,-1.2167093938848916,0.026076041191242294,-200.0,-200.0,0.8795201185188946,-1.091948767956711,-1.1426457718629752,0.08919783724625863,-200.0,-200.0
